#{"t_start": 1757234537.4369645, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.930179
-200.0,200,2.06898
-200.0,200,2.212611
-200.0,200,2.364781
-200.0,200,2.51283
-200.0,200,2.669499
-200.0,200,2.8232
-200.0,200,2.983719
-200.0,200,3.135405
-200.0,200,3.300239
-200.0,200,3.45754
-200.0,200,3.600564
-200.0,200,3.756715
-200.0,200,3.925821
-200.0,200,4.07711
-200.0,200,4.232121
-200.0,200,4.390148
-200.0,200,4.556835
-200.0,200,4.720052
-200.0,200,4.874335
-200.0,200,5.035614
-200.0,200,5.207451
-200.0,200,5.363296
-200.0,200,5.512504
-200.0,200,5.664595
-200.0,200,5.834846
-200.0,200,5.991523
-200.0,200,6.150565
-200.0,200,6.304319
-200.0,200,6.47846
-200.0,200,6.638423
-200.0,200,6.787979
-200.0,200,6.95459
-200.0,200,7.123718
-200.0,200,7.284326
-200.0,200,7.450449
-200.0,200,7.615038
-200.0,200,7.792645
-200.0,200,7.950471
-200.0,200,8.111496
-200.0,200,8.285018
-200.0,200,8.46836
-200.0,200,8.622509
-200.0,200,8.785536
-200.0,200,8.948225
-200.0,200,9.121074
-200.0,200,9.292332
-200.0,200,9.457051
-200.0,200,9.611493
-200.0,200,9.769027
-200.0,200,9.913417
-200.0,200,10.058606
-200.0,200,10.207467
-200.0,200,10.382776
-200.0,200,10.516978
-200.0,200,10.671113
-200.0,200,10.832477
-200.0,200,10.996819
-200.0,200,11.136465
-200.0,200,11.289458
-200.0,200,11.442985
-200.0,200,11.618658
-200.0,200,11.758067
-200.0,200,11.900641
-200.0,200,12.045646
-200.0,200,12.213204
-200.0,200,12.348405
-200.0,200,12.489999
-200.0,200,12.634939
-200.0,200,12.799468
-200.0,200,12.948884
-200.0,200,13.099533
-200.0,200,13.254504
-200.0,200,13.429505
-200.0,200,13.573075
-200.0,200,13.726641
-200.0,200,13.874828
-200.0,200,14.044895
-200.0,200,14.18223
-200.0,200,14.328301
-200.0,200,14.477995
-200.0,200,14.649352
-200.0,200,14.799554
-200.0,200,14.944679
-200.0,200,15.094304
-200.0,200,15.267816
-200.0,200,15.410915
-200.0,200,15.559464
-200.0,200,15.713267
-200.0,200,15.888318
-200.0,200,16.046415
-200.0,200,16.197345
-200.0,200,16.342991
-200.0,200,16.540343
-200.0,200,16.73552
-200.0,200,16.915418
-200.0,200,17.093043
-200.0,200,17.29349
-200.0,200,17.481315
-200.0,200,17.659264
-200.0,200,17.847825
-200.0,200,18.051327
-200.0,200,18.22597
-200.0,200,18.401138
-200.0,200,18.591739
-200.0,200,18.800997
-200.0,200,18.99879
-200.0,200,19.190443
-200.0,200,19.380613
-200.0,200,19.566163
-200.0,200,19.7531
-200.0,200,19.937375
-200.0,200,20.123726
-200.0,200,20.334448
-200.0,200,20.527143
-200.0,200,20.713405
-200.0,200,20.900127
-200.0,200,21.105709
-200.0,200,21.316023
-200.0,200,21.51215
-200.0,200,21.705673
-200.0,200,21.915271
-200.0,200,22.104943
-200.0,200,22.309533
-200.0,200,22.492308
-200.0,200,22.701337
-200.0,200,22.89645
-200.0,200,23.091323
-200.0,200,23.28237
-200.0,200,23.502116
-200.0,200,23.691922
-200.0,200,23.886444
-200.0,200,24.06044
-200.0,200,24.244778
-200.0,200,24.403779
-200.0,200,24.573132
-200.0,200,24.746095
-200.0,200,24.933528
-200.0,200,25.10477
-200.0,200,25.26651
-200.0,200,25.430726
-200.0,200,25.617736
-200.0,200,25.780978
-200.0,200,25.958255
-200.0,200,26.12844
-200.0,200,26.316586
-200.0,200,26.488834
-200.0,200,26.651029
-200.0,200,26.825316
-200.0,200,27.021143
-200.0,200,27.189867
-200.0,200,27.354364
-200.0,200,27.511087
-200.0,200,27.695784
-200.0,200,27.856907
-200.0,200,28.022526
-200.0,200,28.178232
-200.0,200,28.363343
-200.0,200,28.522282
-200.0,200,28.68536
-200.0,200,28.852661
-200.0,200,29.043761
-200.0,200,29.205708
-200.0,200,29.376032
-200.0,200,29.54774
-200.0,200,29.737619
-200.0,200,29.914725
-200.0,200,30.077837
-200.0,200,30.241861
-200.0,200,30.431394
-200.0,200,30.593428
-200.0,200,30.786479
-200.0,200,30.973243
-200.0,200,31.179995
-200.0,200,31.36461
-200.0,200,31.567511
-200.0,200,31.768606
-200.0,200,31.975358
-200.0,200,32.175728
-200.0,200,32.372449
-200.0,200,32.558109
-200.0,200,32.76767
-200.0,200,32.964088
-200.0,200,33.158841
-200.0,200,33.355608
-200.0,200,33.564304
-200.0,200,33.76902
-200.0,200,33.977014
-200.0,200,34.186969
-200.0,200,34.402386
-200.0,200,34.610411
-200.0,200,34.812768
-200.0,200,35.017339
-200.0,200,35.238042
-200.0,200,35.441812
-200.0,200,35.641452
-200.0,200,35.847705
